MeasurementRun,Coments,BeamSize,AcceleratingVoltage,BeamCurrent,StandardID,n,SiO2,SD_SiO2,RSD_SiO2,TiO2,SD_TiO2,RSD_TiO2,Al2O3,SD_Al2O3,RSD_Al2O3,Fe2O3T,SD_Fe2O3T,FeOT,SD_FeOT,RSD_FeOT,MnO,SD_MnO,RSD_MnO,MgO,SD_MgO,RSD_MgO,CaO,SD_CaO,RSD_CaO,Na2O,SD_Na2O,RSD_Na2O,K2O,SD_K2O,RSD_K2O,P2O5,SD_P2O5,RSD_P2O5,Cl,SD_Cl,RSD_Cl,Total,SD1_Total,Rb,SD_Rb,RSD_Rb,Sr,SD_Sr,RSD_Sr,Y,SD_Y,RSD_Y,Zr,SD_Zr,RSD_Zr,Nb,SD_Nb,RSD_Nb,Cs,SD_Cs,RSD_Cs,Ba,SD_Ba,RSD_Ba,La,SD_La,RSD_La,Ce,SD_Ce,RSD_Ce,Pr,SD_Pr,RSD_Pr,Nd,SD_Nd,RSD_Nd,Sm,SD_Sm,RSD_Sm,Eu,SD_Eu,RSD_Eu,Gd,SD_Gd,RSD_Gd,Tb,SD_Tb,RSD_Tb,Dy,SD_Dy,RSD_Dy,Ho,SD_Ho,RSD_Ho,Er,SD_Er,RSD_Er,Tm,SD_Tm,RSD_Tm,Yb,SD_Yb,RSD_Yb,Lu,SD_Lu,RSD_Lu,Hf,SD_Hf,RSD_Hf,Ta,SD_Ta,RSD_Ta,Pb,SD_Pb,RSD_Pb,Th,SD_Th,RSD_Th,U,SD_U,RSD_U
280217,Marked ATHO-1G in the publication.,10,15,6,ATHO-G,10,75.72064,0.40083634,0.53,0.25833,0.03870096,14.98,12.24268,0.10371645,0.85,,,3.23782,0.15489654,4.78,0.10002,0.06467934,64.67,0.09639,0.02124636,22.04,1.68556,0.03981167,2.36,4.12584,0.11587693,2.81,2.75375,0.04149284,1.51,0.02714,0.0203458,74.97,,,,100.2861,0.46888452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280217,,10,15,6,GOR132-G,10,45.87248,0.28794376,0.63,0.29634,0.03006091,10.14,10.92064,0.09271702,0.85,,,10.30487,0.24283505,2.36,0.15189,0.04416694,29.08,22.02816,0.18124771,0.82,8.62275,0.10685403,1.24,0.78805,0.07520986,9.54,0.02526,0.01889869,74.82,0.03365,0.01260928,37.47,,,,99.05609,0.40151516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280217,,10,15,6,StHs6/80-G,10,63.97366,0.29455026,0.46,0.72509,0.045190325,6.23,17.56403,0.1379482,0.79,,,4.3561,0.10431376,2.39,0.07396,0.04827447,65.27,1.9276,0.0376353,1.95,5.32022,0.10716732,2.01,4.50616,0.1424378,3.16,1.32537,0.03171418,2.39,0.12299,0.04017333,32.66,,,,99.90342,0.38205077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290918,,10,15,6,GOR132-G,18,46.07861111,0.15937448,0.35,0.26736111,0.02386482,8.93,9.96153889,0.137951,1.38,,,9.57914444,0.13224015,1.38,0.15537778,0.05778638,37.19,25.70447222,0.19761551,0.77,6.09675556,0.04941403,0.81,0.56537778,0.05893716,10.42,0.03966667,0.01395737,35.19,0.03043333,0.0157065,51.61,,,,98.48314444,0.3020738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290918,,10,15,6,KL2-G,18,50.24274444,0.19496759,0.39,2.62447222,0.07495198,2.86,13.48758889,0.11813921,0.88,,,10.70610556,0.21975283,2.05,0.13715,0.05568557,40.6,7.27065,0.08606038,1.18,10.8139,0.08942339,0.83,2.23963333,0.09454765,4.22,0.48436111,0.02693277,5.56,0.2823,0.02674223,9.47,,,,98.29641667,0.46899128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290918,,10,15,6,StHs6/80-G,18,63.18069444,0.40732558,0.64,0.70338889,0.03019154,4.29,17.73672778,0.24195583,1.36,,,4.32233889,0.11184587,2.59,0.06431667,0.03959833,61.57,1.94659444,0.05448667,2.8,5.1803,0.07181341,1.39,4.69236667,0.1792205,3.82,1.30993889,0.04412421,3.37,0.12468889,0.02813032,22.56,,,,99.26861667,0.3707132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-abr-13,,20-Oct,15,8,ATHO-G,84,75.6,0.45,0.6,0.24,0.02,9.6,12.2,0.1,0.82,,,3.29,0.12,3.76,0.11,0.02,19.46,0.09,0.01,13.87,1.7,0.1,5.66,3.75,0.17,4.45,2.64,0.06,2.41,,,,,,,99.66,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Abr-13,,20-Oct,15,8,ATHO-G,77,75.61,0.54,0.71,0.24,0.02,9.16,12.2,0.12,0.97,,,3.27,0.12,3.79,0.11,0.02,20.46,0.09,0.01,12.03,1.7,0.04,2.34,3.73,0.23,6.21,2.64,0.07,2.7,,,,,,,99.63,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-10-2010,wastegard,5,15,2,BHVO-2G,3,50.1087,0.50510828,1.01,2.7771,0.01626745,0.59,13.57316667,0.07344367,0.54,,,11.16,0.16,1.44,0.17273333,0.01,8.24,7.23796667,0.1,1.37,11.4889,0.14,1.21,2.269,0.07,2.91,0.52526667,0.02,3.6,0.24986667,0.01,4.1,,,,99.56583333,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-10-2010,,5,15,2,Lipari,3,74.7718,1.14936266,1.54,0.07686667,0.0037421,4.87,12.99,0.04290657,0.33,,,1.55886667,0.01155783,0.74,0.0673,0.01518519,22.56,0.03,0.00850706,27.09,0.7414,0.01299885,1.75,4.1661,0.03721062,0.89,5.07,0.14258213,2.81,0.0038,0.00506853,133.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Ago-12,,20-Oct,15,8,ATHO-G,24,75.57,0.41,0.55,0.23,0.02,6.47,12.2,0.15,1.27,,,3.27,0.13,4.12,0.09,0.01,12.55,0.11,0.02,19.69,1.7,0.02,1.24,3.75,0.12,3.12,2.64,0.04,1.39,,,,,,,99.49,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
